palabra,media_agrado,media_activacion,media_imaginabilidad
resultar,0,0.4,0
planta,1,0.2,1
acuerdo,0.4,1,0.6
nombrar,0,0.8,0.4
joven,0.2,0.2,0.6
crecer,0.8,1,0.6
premio,0.8,0.4,0.8
componer,0.6,1,0.6
viaje,0.6,0.8,0.8
modo,0,-0.2,-0.4
sonido,0.6,0.4,1
compañero,0.6,0.2,0.8
suponer,0,0.6,0
desarrollo,0.6,1,0.8
menor,0,0,0.6
construcción,0.4,1,0.6
soler,0.2,0.6,0
animal,0.8,0.6,0.8
popular,0,0.2,0.8
soñar,1,0.8,1
fundar,0,1,1
volar,0.6,1,1
rojo,0.6,0,0.8
cargo,0.2,0.4,0.8
contener,0.2,0.6,0.6
fútbol,-0.2,1,1
joven,0.2,0.4,1
valor,0.4,0.2,0.6
medio,0,0,0.2
proceso,0,0.8,0.6
gritar,-0.4,1,1
estilo,0.4,0.4,0.4
presencia,0.2,0.6,0.4
común,0,0,0
ocasión,0.4,0.2,0.4
letra,0,-0.2,0.8
lluvia,0.6,0.8,1
división,0,0.8,0.8
allá,0,0.2,0.6
estudiar,0.2,1,1
término,0,-0.2,-0.2
reino,0.4,0.2,0.6
triste,-1,-0.167,1
lágrima,-0.167,0.5,1
producción,0.5,0.833,0.5
dirección,0.167,0.833,0.5
romper,0,1,1
república,0.333,0.167,0.167
respuesta,0.167,0.833,-0.167
acción,0.6,1,0.8
necesario,0,-0.2,-0.4
natural,0.2,0,0.4
subir,0.4,1,1
autor,0.2,0.6,1
disponer,0.4,0.4,-0.2
soledad,-0.6,-0.8,1
malo,-1,0.2,1
oficial,0,0.2,0
televisión,0.2,-0.2,1
cabo,-0.2,-0.4,0.4
todavía,0.4,-0.2,-0.2
geografía,0.2,-0.2,0.4
desaparecer,0,0.4,1
separar,-0.2,1,0.6
económico,0.2,-0.2,0.6
significar,0,0,-0.2
favor,0.6,0.8,0.6
jamás,-0.2,0,0.2
director,0,0.4,0.8
corresponder,0.2,0.2,0.4
habitación,0,0,1
género,0,-0.2,0
comunidad,0.6,0,1
cierto,0.4,0.2,-0.2
puerto,0.4,-0.2,0.8
sonreír,1,1,1
deseo,0.4,1,0.4
aceptar,0.6,0.8,0.6
posición,0.2,0.2,0.4
década,0.2,0,0.2
verde,0.4,0.2,1
dedo,0.2,0.2,1
alejar,0,1,1
esposo,-0.2,0.4,0.8
pared,-0.4,-0.2,1
besar,0.6,0.8,1
basar,0.2,0.2,0.2
barrio,0.4,0.4,1
efecto,0.4,0.8,-0.4
escapar,-0.2,1,0.4
cruzar,0.2,1,0.6
oír,0.6,0.2,1
parque,0.8,0.2,1
fiesta,0.4,0.8,1
imaginar,0.6,0.4,0.6
negro,0.4,0.4,1
perro,0.2,0.6,1
