palabra,media_agrado,media_activacion,media_imaginabilidad
terremoto,-1,0.8,0.8
licenciar,0.4,0.4,-0.4
republicano,0.2,0.2,0
giro,0,0.2,0.2
elegante,1,0,1
aguar,-0.4,0.2,0
melancolía,-1,-0.4,0.6
comparación,-0.2,0.8,0.4
miembro,0.2,0,0.6
ángulo,-0.2,-0.6,1
atracción,1,0.8,0.6
reojo,-0.2,0.4,0.8
significado,0.4,0.2,0.8
congelar,-0.6,0,1
pistola,-1,0.6,1
amable,1,1,1
comedia,1,0.4,0.8
central,-0.2,-0.4,0.6
doloroso,-1,1,1
facilidad,1,-0.6,1
sublime,1,-0.2,0.2
prado,0.8,-0.8,1
tejer,0.4,1,1
flujo,0.2,0.4,0.8
enfermero,-0.2,0.8,1
paciencia,0.8,0,1
térmico,0.6,0.8,0.8
civilización,0.6,0.6,1
introducción,0,0.2,0.6
pionero,0.8,1,0.4
ramal,0,0,0.6
peña,0.4,0.2,1
angel,1,0.4,0.8
rubio,0.2,0,1
cajón,0,-0.2,1
restauración,0.6,1,0.8
lógica,0.4,0.6,0.6
that,0,0.2,0.4
sien,0,0.2,1
contento,1,0.4,1
administrativo,-0.2,0.4,0.2
taxi,0,0.8,1
petición,0,0.8,0
