room_id,host_id,room_type,country,city,neighborhood,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,deleted,minstay,last_modified,latitude,longitude,survey_id,location,coworker_hosted,extra_host_languages,name,property_type,currency,rate_type
309428,1454415,Entire home/apt,NA,NA,NA,"Buenos Aires, Capital Federal, Argentina",65,4.5,3,1,1,917,0,NA,2018-02-09T18:28:29Z,-34.616486,-58.379902,1,0101000020E6100000AED7F4A0A0304DC08F386403E94E41C0,NA,NA,San Telmo - charming and located,Apartment,ARS,nightly
10760852,55553719,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",3,3.5,2,0,1,1508,0,NA,2018-02-09T20:36:53Z,-34.589423,-58.403812,1,0101000020E6100000BEDD921CB0334DC04E417E36724B41C0,NA,NA,Apartamento 2 personas en Recoleta,Apartment,ARS,nightly
14755182,16838010,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",7,4.5,2,1,1,897,0,NA,2018-02-09T11:01:05Z,-34.578128,-58.423711,1,0101000020E61000004CFA7B293C364DC071732A19004A41C0,NA,NA,Beautiful new apartment in the heart of Palermo,Apartment,ARS,nightly
4677769,13268303,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",63,5,2,0,1,999,0,NA,2018-02-09T11:01:05Z,-34.577466,-58.422752,1,0101000020E6100000C828CFBC1C364DC0A646E867EA4941C0,NA,NA,Lux Studio in Palermo with pool!!,Apartment,ARS,nightly
17457480,79090690,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",17,5,4,1,1,917,0,NA,2018-02-09T18:28:29Z,-34.617739,-58.383272,1,0101000020E61000007BBC900E0F314DC05C3B5112124F41C0,NA,NA,Great Located. Confortable and renovated. 2/4 pax.,Apartment,ARS,nightly
4968187,641573,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",13,4,2,0,1,917,0,NA,2018-02-09T11:01:05Z,-34.57777,-58.422295,1,0101000020E6100000D52137C30D364DC0124E0B5EF44941C0,NA,NA,Palermo Studio,Apartment,ARS,nightly
21383728,45767800,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires, Argentina",2,NA,2,1,1,917,0,NA,2018-02-09T11:01:05Z,-34.579098,-58.423222,1,0101000020E61000004F7974232C364DC0EA961DE21F4A41C0,NA,NA,Increíble departamento en pleno Palermo,Apartment,ARS,nightly
2419737,12367452,Entire home/apt,NA,NA,NA,"Buenos Aires, Autonomous City of Buenos Aires, Argentina",9,5,2,1,1,917,0,NA,2018-02-09T11:01:05Z,-34.578961,-58.423596,1,0101000020E6100000B45BCB6438364DC06954E0641B4A41C0,NA,NA,Brand New Sunny Studio for Rent,Apartment,ARS,nightly
2053885,7703285,Entire home/apt,NA,NA,NA,"Buenos Aires, Autonomous City of Buenos Aires, Argentina",11,4.5,2,1,1,917,0,NA,2018-02-09T11:01:05Z,-34.576846,-58.422588,1,0101000020E61000004DD7135D17364DC00A6AF816D64941C0,NA,NA,bright studio with pool and sauna,Apartment,ARS,nightly
21863538,105857244,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires, Argentina",0,NA,2,1,1,774,0,NA,2018-02-09T11:01:12Z,-34.578494,-58.424388,1,0101000020E61000004D68925852364DC0537765170C4A41C0,NA,NA,Adorable depto estudio en palermo.,Apartment,ARS,nightly
