X,Y,NOMBRE,DOMICILIO,IMAGEN,AUTOMAT,OBSERV,NRO_EST,HORARIO,DIRE_NORM
-58374218007911910,-34619940439559456,HUMBERTO PRIMO,PERU 1016 ENTRE HUMBERTO PRIMO Y CARLOS CALVO,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,117,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,1016 PERU
-5840259838421953,-34592104240900892,HOSPITAL ALEMAN,BERUTI Y ECUADOR,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,116,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,BERUTI Y ECUADOR
-58390410553701390,-34611837952645172,SOLIS Y ALSINA,SOLIS 225 Y ADOLFO ALSINA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,141,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,225 SOLIS
-58452926826149610,-34592212477511568,SANTOS DUMONT Y OTERO,SANTOS DUMONT 4380 Y OTERO,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,127,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,4380 DUMONT SANTOS
-58428888195689590,-34590554215666048,ARMENIA Y GORRITI,ARMENIA 1525 ENTRE GORRITI Y HONDURAS,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,142,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,1525 ARMENIA
-5837910486128024,-34627455406115588,CONSTITUCION I,AV BRASIL 1050 Y LIMA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,147,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,1050 BRASIL AV
-58379231885257800,-34627494076458304,CONSTITUCION II,AV BRASIL 1060 Y LIMA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,148,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,1060 BRASIL AV
-58412559298141080,-34641727910511284,PARQUE JOSE EVARISTO URIBURU,PQUE. JOSE E. URIBURU - ALMAFUERTE 300,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jun-17,155,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,300 ALMAFUERTE AV.
-58406616799181090,-34609355486334688,ONCE II,BARTOLOME MITRE Y AV PUEYRREDON,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jun-17,163,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,MITRE BARTOLOME Y PUEYRREDON AV
-58427952183187440,-34628309212713772,SENILLOSA Y ZUVIRIA,SENILLOSA 989 Y ZUVIRIA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,jun-17,157,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,989 SENILLOSA
