"age","race_white","gender_male","education","income","ideology_con","partyid_rep","vote_rep","voted"
0,1,1,1,3,6,5,NA,0
68,1,0,5,3,6,7,1,1
40,0,0,5,2,4,3,0,1
45,1,1,3,4,6,7,1,1
38,0,1,7,3,3,4,0,1
76,1,0,7,1,1,1,0,1
23,0,1,3,3,4,6,NA,0
24,1,1,6,3,3,2,0,1
25,1,0,6,1,3,2,0,1
30,1,0,5,4,4,3,1,1
36,1,1,3,3,4,2,NA,0
69,0,1,2,2,7,1,NA,0
45,1,1,3,3,4,5,1,1
19,0,0,5,4,5,4,0,1
76,0,0,5,2,3,1,0,1
64,0,0,1,1,4,2,0,1
76,0,0,7,2,2,1,0,1
19,0,0,2,2,4,2,0,1
64,1,1,3,2,6,7,1,1
39,1,1,2,1,4,3,NA,0
32,1,0,5,3,2,2,0,1
22,1,0,3,2,4,7,NA,0
46,1,1,2,3,4,2,NA,0
45,1,0,5,3,7,1,NA,0
0,1,0,1,1,4,2,NA,1
24,1,1,2,1,4,3,NA,0
48,1,0,2,1,4,3,NA,0
48,1,0,5,4,6,7,1,1
65,1,1,3,2,4,4,0,1
26,1,0,3,3,5,1,0,1
77,1,1,7,1,4,5,0,1
66,1,0,5,3,4,5,0,1
73,1,0,2,2,4,2,NA,0
52,1,0,7,3,6,7,1,1
62,1,0,6,3,4,1,0,1
45,1,0,5,1,3,6,1,1
39,1,0,5,3,5,5,1,1
44,1,0,6,3,4,3,0,1
31,1,1,5,4,4,6,NA,0
37,1,0,6,3,4,3,0,1
50,1,0,6,3,4,3,0,1
69,0,0,1,3,4,7,NA,0
28,0,0,3,3,6,1,1,1
86,0,1,3,3,6,7,NA,0
61,0,0,6,4,6,6,1,1
62,0,0,5,5,4,6,1,1
52,0,0,5,3,4,2,0,1
71,0,0,1,3,4,7,1,1
21,0,0,5,3,4,4,0,1
42,0,1,3,5,5,7,1,1
79,0,1,1,1,4,4,NA,0
77,0,0,1,3,4,4,NA,0
68,0,0,1,1,5,7,NA,0
65,0,0,3,2,6,4,1,1
74,0,0,3,1,4,1,0,1
28,0,0,3,2,4,4,NA,0
24,0,1,5,3,4,6,NA,0
60,0,1,2,3,2,1,0,1
44,0,1,5,3,6,7,1,1
85,0,1,3,3,6,7,NA,0
50,1,1,6,1,2,2,0,1
46,0,0,5,3,2,3,0,1
19,0,1,5,3,4,3,NA,0
53,0,1,5,4,7,6,1,1
37,0,1,5,3,2,5,1,1
26,0,1,5,3,4,6,1,1
83,0,0,5,2,6,5,NA,0
55,0,0,5,2,4,7,1,1
66,0,0,6,3,1,1,0,1
34,0,1,6,3,4,1,0,1
75,0,0,1,2,7,7,1,1
87,0,1,1,3,6,7,1,1
20,1,0,3,2,4,3,0,1
31,1,1,5,3,4,4,1,1
53,1,1,5,3,4,5,NA,0
78,0,0,1,2,6,2,0,1
73,1,0,6,3,5,7,1,1
81,1,0,2,3,6,7,1,1
87,1,1,3,3,5,3,NA,0
78,1,1,3,3,7,7,1,1
31,1,1,2,3,4,3,NA,0
46,1,1,7,3,4,5,1,1
37,1,1,6,3,5,7,0,1
32,0,0,2,1,4,1,0,1
64,1,1,3,1,4,3,0,1
65,1,0,2,1,4,4,0,1
81,1,0,3,3,4,4,NA,1
