nombre,tipo,categoria,lat,lng
ANNEX NATIONAL BANK OF ARGENTINA,bank,banca,-32.8493064,-68.8372713
BANCO DE LA NACIÓN ARGENTINA,bank,banca,-32.8493086,-68.8371086
Arte Abstracto Mendoza,art_gallery,cultura,-33.07404,-68.47761
Gonzalo Anton Art Gallery,art_gallery,cultura,-33.014736,-68.91031199999999
Ayllu Folk Art,art_gallery,cultura,-32.97468,-68.88372400000002
Herrera & Chaer,art_gallery,cultura,-32.9467794,-68.8459009
Salas de Arte Libertad,art_gallery,cultura,-32.9020269,-68.7888019
MARIAJOSE,art_gallery,cultura,-32.92188700000001,-68.87776099999999
Art Mall - Tienda de Arte,art_gallery,cultura,-32.8783634,-68.8295431
Espacio de Arte Gaudí,art_gallery,cultura,-32.8914133,-68.8535133
Proyecto Equinoxio,art_gallery,cultura,-32.8668911,-68.8494635
SALA DE ARTÉ Municipalidad de Guaymallén,art_gallery,cultura,-32.901162,-68.7959039
TALLER DE ARTE Gurru Mines,art_gallery,cultura,-32.901125,-68.795813
Taller De Arte Fabian Alvarez,art_gallery,cultura,-32.880819,-68.740528
Mandrágora Galería,art_gallery,cultura,-32.892722,-68.84819379999999
"Casa Palmera Galeria, Supermercarte",art_gallery,cultura,-32.8918641,-68.8517469
La Sala de Maridajes,art_gallery,cultura,-32.88853,-68.848396
Marquet Cuadros,art_gallery,cultura,-32.87843780000001,-68.8363428
BAALBEK,art_gallery,cultura,-32.8916749,-68.8584798
Imagen Galería,art_gallery,cultura,-32.87826049999999,-68.8503814
Libreria Chicos,library,cultura,-33.0366635,-68.88731709999999
Biblioteca Popular Gral. Julio A. Roca,library,cultura,-33.050899,-68.56223039999999
Biblioteca Pública Julio Cortázar JUNÍN,library,cultura,-33.0948864,-68.47952769999999
"Biblioteca Popular ""Pedro Jose Bustos""",library,cultura,-33.14477,-68.48740099999999
Biblioteca Popular Ingeniero Giagnoni,library,cultura,-33.1257647,-68.40802459999999
POPULAR LIBRARY BERNARDINO RIVADAVIA,library,cultura,-33.1930449,-68.4645113
Biblioteca Popular Municipal Alberdi,library,cultura,-33.0390205,-68.8861064
Biblioteca Julio Fernandez Pelaez,library,cultura,-32.9858597,-68.7864468
MendozA Biblioteca Pública MAIPÚ,library,cultura,-32.985774,-68.786407
Biblioteca Pública Luján de Cuyo,library,cultura,-32.9846721,-68.8602478
Biblioteca Digital Argentina,library,cultura,-32.8851639,-68.842676
Biblioteca del Agua - Departamento General de Irrigación,library,cultura,-32.8820777,-68.8400108
Amanecer Luminoso,library,cultura,-32.854734,-68.8226519
Biblioteca Popular Pbro. Pedro Arce,library,cultura,-32.939755,-68.825789
LIBRARY + MEDIATECA Manuel Belgrano,library,cultura,-32.924095,-68.843471
Libreria Tecnica,library,cultura,-32.89176,-68.840053
Biblioteca Mauricio A López,library,cultura,-32.89313000000001,-68.846575
EDELIJ (Espacio de Literatura Infantil y Juvenil),library,cultura,-32.88014450000001,-68.8590396
EDELIJ,library,cultura,-32.8800809,-68.8596053
Biblioteca Central,library,cultura,-32.8816305,-68.8770545
Biblioteca Central,library,cultura,-32.8815802,-68.8770765
Biblioteca Popular General Gutierrez,library,cultura,-32.956536,-68.7886259
Biblioteca De Jesus Nazareno,library,cultura,-32.9238661,-68.7792467
BIBLIOTECA POPULAR MUNICIPAL ALMAFUERTE,library,cultura,-32.90051,-68.7877999
Biblioteca S.I.P.E.M.U.M.,library,cultura,-32.8942417,-68.8250735
Biblioteca San Martin,library,cultura,-32.8815619,-68.8363849
BIBLIOTECA POPULAR CH CORIA,library,cultura,-32.98810140000001,-68.8842684
Asociación Ecuménica de Cuyo,library,cultura,-32.892935,-68.8465959
"BLIBLIOTECA POPULAR ""EL BERMEJO""",library,cultura,-32.868048,-68.778992
Biblioteca Popular Fuente de Sabiduría.,library,cultura,-32.8901706,-68.910619
Biblioteca Popular Felix D Palorma,library,cultura,-32.8315872,-68.8187642
biblioteca popular valle de hualilan,library,cultura,-32.84189790000001,-68.87150720000001
Museo Histórico las Bóvedas,museum,cultura,-33.087807,-68.4652909
Monumento al Desocupado,museum,cultura,-33.0526031,-68.5588306
Museo Las Bóvedas,museum,cultura,-33.0971435,-68.482241
Plaza Citon,museum,cultura,-33.0989082,-68.4807474
Plaza San Martín,museum,cultura,-33.0802489,-68.4706401
"Plaza las Bóvedas, San Martín, Mendoza",museum,cultura,-33.0885312,-68.4611941
